sample_name,form_1,frost_resitant_01,frost_resitant_001,f1_vibration,rms_1,rms_2,rms_3,rms_4,rms_5,rms_6,rms_7,rms_8,rms_9,flatness_1,flatness_2,flatness_3,flatness_4,flatness_5,flatness_6,flatness_7,flatness_8,flatness_9,rolloff_1,rolloff_2,rolloff_3,rolloff_4,rolloff_5,rolloff_6,rolloff_7,rolloff_8,rolloff_9,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,contrast_7,contrast_8,contrast_9,f1_audio_1,f1_audio_2,f1_audio_3,f1_audio_4,f1_audio_5,f1_audio_6,f1_audio_7,f1_audio_8,f1_audio_9,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,rms_mean,rms_std,rms_min,rms_max,flatness_mean,flatness_std,flatness_min,flatness_max,rolloff_mean,rolloff_std,rolloff_min,rolloff_max,contrast_mean,contrast_std,contrast_min,contrast_max,f1_audio_mean,f1_audio_std,f1_audio_min,f1_audio_max,centroid_mean,centroid_std,centroid_min,centroid_max,c_mean,c_std,c_min,c_max,Q_mean,Q_std,Q_min,Q_max
S01,pl,1.0,0.0,2748.0,0.12220367044210434,0.1294214278459549,0.11123432219028473,0.12812435626983643,0.13087871670722961,0.1143711507320404,0.10105320811271667,0.12219133973121643,0.10357391089200974,0.008963165804743767,0.007643081247806549,0.012436304241418839,0.008402750827372074,0.013389823958277702,0.014130652882158756,0.012328735552728176,0.007448234129697084,0.0025560371577739716,12397.290431837426,14052.751905165114,16177.0533446232,13538.27265029636,16525.571549534292,14973.835732430145,10887.044877222694,10633.954276037257,6397.798475867909,14.673802330610641,10.566527897674009,12.863068267760738,14.208598535654957,19.863772543253326,13.529412739464831,13.348872171403173,16.38496762609957,15.057705218433023,3223.7933954276036,3227.9424216765456,3223.7933954276036,3227.9424216765456,3227.9424216765456,3227.9424216765456,3223.7933954276036,3223.7933954276036,3223.7933954276036,55.14087124017556,59.485896349808314,57.89086020459788,63.182687383600076,60.31632935560178,66.25586343575874,59.27483203955835,64.1333364037202,58.61261972965744,5841.66879860892,6028.6234304223335,6446.748088709611,6010.692139440704,6893.026750808829,6581.526085348412,5742.024541568426,5688.223021638509,4881.0616280222175,183.57909539643407,170.38894638925643,174.85853942862465,160.41956465902433,168.04303763758483,152.97875053566997,170.7758742342292,157.83852562916852,172.70532025922532,0.11811690032482147,0.011114050095238807,0.10105320811271667,0.13087871670722961,0.009699865089108547,0.0037115772687516583,0.0025560371577739716,0.014130652882158756,12842.619249223822,3193.9304043978714,6397.798475867909,16525.571549534292,14.499636370039363,2.577988508877813,10.566527897674009,19.863772543253326,3225.6374070938,2.186728836413549,3223.7933954276036,3227.9424216765456,6012.62160939644,589.0247414980868,4881.0616280222175,6893.026750808829,60.47703290471981,3.449210326221147,55.14087124017556,66.25586343575874,167.9541837965797,9.431594607735127,152.97875053566997,183.57909539643407
S02,pl,1.0,0.0,3289.0,0.11873630434274673,0.14561231434345245,0.10948395729064941,0.137154221534729,0.13842526078224182,0.13241972029209137,0.10940785706043243,0.14777790009975433,0.13446393609046936,0.016339445486664772,0.01545366458594799,0.006394258234649897,0.015358274802565575,0.02705356851220131,0.011955375783145428,0.00696959113702178,0.007724178954958916,0.006020545959472656,18280.609652836578,18268.162574089754,10787.468247248094,17600.16934801016,18741.151566469096,16089.923793395428,8679.762912785774,16152.159187129551,10376.71464860288,29.826741852173093,18.819979777185864,18.723538155809788,18.685090486346976,30.01462102019687,17.50981440410823,11.260596524374929,20.45886495393631,12.831291653071077,3315.0719729043185,3593.056731583404,3315.0719729043185,3593.056731583404,3593.056731583404,3593.056731583404,3315.0719729043185,3593.056731583404,3315.0719729043185,53.59021275318575,55.76809249561403,52.344184327906355,52.53477734105645,56.85406254753225,54.39736452607662,52.55066545819053,48.540496646957564,56.47905304704732,7814.97877288945,7963.651771966922,5625.709232850869,7481.775787059967,8567.668762504347,7020.566622840928,5358.2113635902515,6684.951084976085,5688.567321498193,194.23931087679367,202.3056129821761,198.86308533744818,214.75675177849743,198.44137132222565,207.4033960186345,198.0817160764834,232.4285682371369,184.30418771802957,0.130386830204063,0.014483681457669262,0.10940785706043243,0.14777790009975433,0.012585433717403147,0.006858660480453209,0.006020545959472656,0.02705356851220131,14997.346881174146,3933.5307191840484,8679.762912785774,18741.151566469096,19.79228209191146,6.474942977156305,11.260596524374929,30.01462102019687,3469.507949948255,146.5108320396951,3315.0719729043185,3593.056731583404,6911.786746686335,1151.9631996972437,5358.2113635902515,8567.668762504347,53.67321212706299,2.5878946533256326,48.540496646957564,56.85406254753225,203.4248889274917,13.742620206794877,184.30418771802957,232.4285682371369
S03,pl,1.0,0.0,1665.211513,0.10505617409944534,0.11886327713727951,0.09331679344177246,0.10655099898576736,0.10034205764532089,0.0938701406121254,0.10678382962942123,0.08550027757883072,0.09183810651302338,0.009940098039805889,0.009022929705679417,0.006666464731097221,0.006019162014126778,0.006953376345336437,0.002398440148681402,0.012777416035532951,0.012874861247837543,0.0059593492187559605,13911.6850127011,15558.848433530906,6837.595258255716,6879.085520745131,7609.3141405588485,4742.33700254022,16214.394580863674,13650.296359017782,5895.766299745978,15.193013715602984,17.11473042555447,14.292372181005756,10.734138189894527,21.9404209022854,8.499995522848828,14.247615517695388,17.56131222082203,5.57177803156771,3900.0846740050806,1788.2303132938189,3900.0846740050806,3900.0846740050806,1788.2303132938189,3900.0846740050806,1788.2303132938189,1788.2303132938189,3895.935647756139,56.80666172238702,44.97485039570789,59.08834111131493,51.43444828302394,58.48121245574028,62.89774928429887,44.583643404358845,54.34987274377461,55.834852020467494,6197.090932753991,5959.802283554813,5035.394560979457,5013.249370035165,5459.1731143352235,4558.928433531101,6193.474733689537,6016.1564545381225,4705.888713691007,215.57798865603476,124.84851276522434,207.25350629332348,238.09462889520023,96.01447965861114,194.70117795507483,125.94401791742352,103.3129039733723,219.0968094528112,0.10023573951588736,0.01017988077036992,0.08550027757883072,0.11886327713727951,0.008068010831872622,0.003422278067728993,0.002398440148681402,0.012874861247837543,10144.369178662151,4581.23756751761,4742.33700254022,16214.394580863674,13.906152967475233,4.98593539239226,5.57177803156771,21.9404209022854,2961.021732994637,1112.6084055737476,1788.2303132938189,3900.0846740050806,5459.906510789824,652.0056424233459,4558.928433531101,6197.090932753991,54.272403491230435,6.250441835711294,44.583643404358845,62.89774928429887,169.4271139518973,55.9244565506356,96.01447965861114,238.09462889520023
S04,pt,1.0,0.0,5750.0,0.10374272614717484,0.1070762574672699,0.10619400441646576,,,,,,,0.03595997020602226,0.016435211524367332,0.009912917390465736,,,,,,,18550.296359017782,15231.075359864522,11185.774767146486,,,,,,,13.438899103093487,12.80031395860102,8.52806897942186,,,,,,,5750.550381033023,5750.550381033023,5750.550381033023,,,,,,,104.05741094018065,103.44822423210694,96.6251263547467,,,,,,,9268.764887067695,8021.454828678173,7279.460418362805,,,,,,,173.5265949181067,174.54845968094904,186.87404485403457,,,,,,,0.1056709960103035,0.0017272119470988425,0.10374272614717484,0.1070762574672699,0.020769366373618443,0.013553631018552297,0.009912917390465736,0.03595997020602226,14989.048828676265,3688.221414263777,11185.774767146486,18550.296359017782,11.589094013705456,2.670084912895989,8.52806897942186,13.438899103093487,5750.550381033023,0.0,5750.550381033023,5750.550381033023,8189.893378036225,1005.2918610954206,7279.460418362805,9268.764887067695,101.37692050901143,4.126431615173304,96.6251263547467,104.05741094018065,178.31636648436344,7.428758052826703,173.5265949181067,186.87404485403457
S05,pt,1.0,0.0,5372.0,0.10642779618501663,0.1037786602973938,0.10966236889362335,,,,,,,0.013317243196070194,0.009994782507419586,0.005317511968314648,,,,,,,13795.512277730737,10716.934801016088,7285.690093141406,,,,,,,19.97242494866588,8.571824701923257,8.611888888635029,,,,,,,5368.839966130398,5368.839966130398,5368.839966130398,,,,,,,95.87246335987415,95.97663114971543,86.70922979801244,,,,,,,7666.635800002482,7107.35012880216,6278.3638266955195,,,,,,,175.83941105559575,175.6485645693497,194.42171880571675,,,,,,,0.10662294179201126,0.0029467046114742077,0.1037786602973938,0.10966236889362335,0.009543179223934809,0.004018940665563811,0.005317511968314648,0.013317243196070194,10599.379057296077,3256.5028379235337,7285.690093141406,13795.512277730737,12.385379513074723,6.570604623324833,8.571824701923257,19.97242494866588,5368.839966130398,0.0,5368.839966130398,5368.839966130398,7017.449918500054,698.4885853231061,6278.3638266955195,7666.635800002482,92.85277476920066,5.320720941927817,86.70922979801244,95.97663114971543,181.96989814355405,10.784015205262104,175.6485645693497,194.42171880571675
S06,pt,1.0,0.0,5804.0,0.10204138606786728,0.10271649807691574,0.10224778950214386,,,,,,,0.0108023164793849,0.008210374973714352,0.009768566116690636,,,,,,,10712.785774767146,8576.037256562235,9999.153259949197,,,,,,,9.612123723105732,9.810437984196312,12.2622222322933,,,,,,,5808.636748518205,5808.636748518205,5808.636748518205,,,,,,,110.16189930166065,104.2012273955656,103.43241909569015,,,,,,,7280.095179513753,6869.146298741833,7196.536765905594,,,,,,,165.5664935514798,175.03747169031286,176.33851697380592,,,,,,,0.10233522454897563,0.00034594468018921403,0.10204138606786728,0.10271649807691574,0.009593752523263296,0.0013047835209488434,0.008210374973714352,0.0108023164793849,9762.658763759528,1087.828475706867,8576.037256562235,10712.785774767146,10.561594646531782,1.4761208540047677,9.612123723105732,12.2622222322933,5808.636748518205,0.0,5808.636748518205,5808.636748518205,7115.259414720393,217.19634323276543,6869.146298741833,7280.095179513753,105.9318485976388,3.683444484370055,103.43241909569015,110.16189930166065,172.31416073853288,5.879748213814035,165.5664935514798,176.33851697380592
S07,pt,1.0,0.0,5447.0,0.11724690347909927,0.12178191542625427,,,,,,,,0.013340486213564873,0.007979423739016056,,,,,,,,15948.856900931414,11173.327688399662,,,,,,,,23.1051497252938,13.044373978728052,,,,,,,,5451.82049110923,5451.82049110923,,,,,,,,68.65468426252176,67.57056156164944,,,,,,,,8143.3588758914375,7246.237425927647,,,,,,,,249.34520529763768,253.3457758296763,,,,,,,,0.11951440945267677,0.0032067377005953086,0.11724690347909927,0.12178191542625427,0.010659954976290464,0.003790843630118201,0.007979423739016056,0.013340486213564873,13561.092294665537,3376.8090899356553,11173.327688399662,15948.856900931414,18.074761852010926,7.1140427543937905,13.044373978728052,23.1051497252938,5451.82049110923,0.0,5451.82049110923,5451.82049110923,7694.7981509095425,634.3606608173045,7246.237425927647,8143.3588758914375,68.1126229120856,0.7665905134250881,67.57056156164944,68.65468426252176,251.345490563657,2.8288305518195944,249.34520529763768,253.3457758296763
S08,pt,1.0,1.0,3370.0,0.15083526074886322,0.1612333357334137,0.14454132318496704,,,,,,,0.002788848476484418,0.0027820144314318895,0.004641280509531498,,,,,,,7551.227773073667,7638.35732430144,10065.53767993226,,,,,,,10.23469635293358,10.287005410513498,9.030488585912947,,,,,,,3339.966130397968,3339.966130397968,3339.966130397968,,,,,,,43.73074368004638,42.52666742398315,43.138527338226524,,,,,,,5078.519540270268,5171.122316883746,5792.681481411651,,,,,,,239.8196958684444,246.60981649211337,243.11199979597572,,,,,,,0.15220330655574799,0.00842967868466387,0.14454132318496704,0.1612333357334137,0.003404047805815935,0.0010714804003809106,0.0027820144314318895,0.004641280509531498,8418.374259102457,1427.1504443695121,7551.227773073667,10065.53767993226,9.850730116453342,0.7108313342092215,9.030488585912947,10.287005410513498,3339.966130397968,0.0,3339.966130397968,3339.966130397968,5347.441112855221,388.35944420514596,5078.519540270268,5792.681481411651,43.13197948075202,0.6020648332463391,42.52666742398315,43.73074368004638,243.18050405217784,3.3955786172362465,239.8196958684444,246.60981649211337
S09,pt,1.0,1.0,3622.0,0.14204034209251404,0.13608799874782562,0.1332692801952362,,,,,,,0.005418689921498299,0.005540177691727877,0.005293227266520262,,,,,,,10625.656223539374,9360.203217612194,9517.866215071974,,,,,,,10.273424462381985,11.9485574004901,21.313223591849138,,,,,,,3622.099915325995,3622.099915325995,3622.099915325995,,,,,,,55.75549211488041,55.517256422054224,53.96033241421113,,,,,,,5826.901464498609,5596.31943769614,5651.5616971891395,,,,,,,203.98696707204232,204.86231609971176,210.77323332293446,,,,,,,0.13713254034519196,0.004477854627267528,0.1332692801952362,0.14204034209251404,0.005417364959915479,0.0001234805440948185,0.005293227266520262,0.005540177691727877,9834.57521874118,689.6167575591462,9360.203217612194,10625.656223539374,14.51173515157374,5.94951269790086,10.273424462381985,21.313223591849138,3622.099915325995,0.0,3622.099915325995,3622.099915325995,5691.594199794629,120.3908996549472,5596.31943769614,5826.901464498609,55.077693650381924,0.974967261197489,53.96033241421113,55.75549211488041,206.54083883156287,3.6913996434963576,203.98696707204232,210.77323332293446
S10,pt,1.0,0.0,3115.0,0.13961265981197357,0.14317728579044342,0.13183341920375824,,,,,,,0.00703753437846899,0.00754879554733634,0.007382228039205074,,,,,,,12857.83234546994,13214.648602878917,10521.930567315834,,,,,,,15.312898185553326,16.150865441607944,17.145272905477,,,,,,,3082.72650296359,3082.72650296359,3082.72650296359,,,,,,,51.01131564315992,50.16681559548908,55.983246637540155,,,,,,,5975.269696298863,6066.656816031378,5823.560948819702,,,,,,,189.757137161853,192.95147807181252,172.90460630082157,,,,,,,0.13820778826872507,0.005800954690729809,0.13183341920375824,0.14317728579044342,0.0073228526550034685,0.00026075097868410465,0.00703753437846899,0.00754879554733634,12198.13717188823,1462.5597069169273,10521.930567315834,13214.648602878917,16.20301217754609,0.917299700264637,15.312898185553326,17.145272905477,3082.7265029635905,5.569494857771083e-13,3082.72650296359,3082.72650296359,5955.162487049981,122.78894519329872,5823.560948819702,6066.656816031378,52.38712595872972,3.1428264404919077,50.16681559548908,55.983246637540155,185.20440717816237,10.771015721784796,172.90460630082157,192.95147807181252
S11,pl,0.0,0.0,2014.886014,0.10425020009279251,0.1192447692155838,0.09566529095172882,0.09556606411933899,0.12217632681131363,0.11653280258178711,0.10059874504804611,0.1084975004196167,0.09369873255491257,0.005870100576430559,0.00645242165774107,0.007453234400600195,0.004531657323241234,0.006173188332468271,0.005899565760046244,0.006880967412143946,0.022316310554742813,0.005899851210415363,6605.249788314987,8621.676545300594,7903.8950042337,6099.0685859441155,12837.087214225234,7638.35732430144,6538.865368331923,17060.795935647755,5866.723116003387,12.176043784675858,10.613702974661443,16.66669014567053,11.456380518143392,13.129172345584466,15.512696475010644,7.676708553829245,19.70878116673299,9.113271090003046,4485.097375105843,2348.3488569009314,4485.097375105843,4485.097375105843,2348.3488569009314,2348.3488569009314,4485.097375105843,2348.3488569009314,2348.3488569009314,63.23613423799946,35.20679687397809,65.29980970871232,63.83365586246417,36.77321203987288,47.9407867040345,56.73603766335433,29.790426229003742,57.46853132880573,5217.113023939371,5137.834911024153,5514.998014618066,5157.252595036856,5588.14171227431,5172.513087111289,5097.71462821328,6922.979347703429,4703.489921138587,222.70820200406172,209.44295037868187,215.66993564995585,220.62351854288255,200.5213850417407,153.8108971008683,248.2232869590866,247.52299124508102,128.31048993543442,0.10624782575501336,0.010914164566119782,0.09369873255491257,0.12217632681131363,0.0079419219142033,0.005449749281888268,0.004531657323241234,0.022316310554742813,8796.857653589237,3750.862451096863,5866.723116003387,17060.795935647755,12.894827450479069,3.822357108752853,7.676708553829245,19.70878116673299,3298.014864992003,1126.16535075288,2348.3488569009314,4485.097375105843,5390.226360117705,628.1506326570769,4703.489921138587,6922.979347703429,50.698376738691685,13.710703228103116,29.790426229003742,65.29980970871232,205.20373965086588,40.138835648272405,128.31048993543442,248.2232869590866
S12,pl,0.0,0.0,1531.468471,0.10045499354600906,0.11607380956411362,0.10665739327669144,0.13225485384464264,0.12446805834770203,0.14271554350852966,0.10414654016494751,0.09452196210622787,0.06855704635381699,0.011615521274507046,0.005616192240267992,0.01263128500431776,0.006445957813411951,0.013471011072397232,0.0072405897080898285,0.01188479084521532,0.026659797877073288,0.030889159068465233,14318.289585097375,7966.130397967824,15488.3149872989,12907.62066045724,15276.71464860288,12762.404741744285,13152.413209144794,17708.04403048264,13106.773920406435,13.978520412239277,5.95170556612246,8.371172631002336,11.77617864674422,20.237629976086872,13.037315068474571,14.540281404742172,17.30400705906418,18.51299184614065,2219.7290431837428,2219.7290431837428,2219.7290431837428,2219.7290431837428,2219.7290431837428,2219.7290431837428,2219.7290431837428,2219.7290431837428,2219.7290431837428,57.51733771969052,50.49053312833421,46.14106989310392,42.77997388319977,45.96223502078282,41.779624366883255,53.020506738372475,49.275712229167446,60.08404130627671,6190.116290392908,5114.2214554109305,6283.443719718109,5552.1583818850995,6341.669442508492,5480.466716857208,5875.9515533293825,7308.047762671329,6248.771262084199,121.1799688915514,138.04467419429102,151.05738145527172,162.9255131063588,151.64513197509518,166.826516542875,131.45761186308312,141.44796453030824,116.00333539596367,0.10998335563474232,0.02209476723196922,0.06855704635381699,0.14271554350852966,0.014050478322638406,0.008880074012696798,0.005616192240267992,0.030889159068465233,13631.85624235582,2672.194448554101,7966.130397967824,17708.04403048264,13.74553362340186,4.639936118078957,5.95170556612246,20.237629976086872,2219.7290431837428,0.0,2219.7290431837428,2219.7290431837428,6043.8718427619615,638.2833022482599,5114.2214554109305,7308.047762671329,49.6723371428679,6.304947518444583,41.779624366883255,60.08404130627671,142.287566439422,17.55329406713182,116.00333539596367,166.826516542875
S13,pl,1.0,1.0,2060.244079,0.10266902297735214,0.14745618402957916,0.09492529183626175,0.10943718254566193,0.125393807888031,0.11877220869064331,0.10948620736598969,0.13407087326049805,0.09248755872249603,0.00748749403283,0.006481058429926634,0.0018934303661808372,0.006627428811043501,0.007378696464002132,0.011169037781655788,0.004062217194586992,0.004308232106268406,0.008113361895084381,13550.719729043183,13716.680779000846,4850.211685012701,10252.243861134632,11210.668924640137,11140.135478408129,5323.200677392041,10920.237087214226,9235.732430143946,32.69804659045946,17.735567327109713,22.36952056667902,29.10475331824374,15.513014474254707,17.88509993412412,12.15071583858105,11.810320658100554,15.749990522995535,2402.286198137172,2402.286198137172,4592.972057578324,2402.286198137172,2402.286198137172,2402.286198137172,2402.286198137172,2402.286198137172,2070.364098221846,41.44779650253422,41.78958385484721,53.63897459550397,48.61572786461848,51.77174486108894,46.52969704577228,44.00633615593882,42.93918442451514,47.791097368059305,5590.773532619107,5725.229727929362,4822.739894078162,5662.29495236462,5636.014397472267,5848.041721076948,4428.071704564983,5192.085589175278,5422.509497892479,181.99227217518097,180.50379942407062,268.87039451355935,155.15922507951362,145.70068446389354,162.11536160938962,171.41119486569073,175.67121414267282,136.02833218810824,0.114966481924057,0.018243343101158715,0.09248755872249603,0.14745618402957916,0.006391217453508741,0.002693216287093362,0.0018934303661808372,0.011169037781655788,10022.20340577665,3143.840358820654,4850.211685012701,13716.680779000846,19.44633658117199,7.275565666451105,11.810320658100554,32.69804659045946,2608.8155047511523,752.112659841725,2070.364098221846,4592.972057578324,5369.751224130357,471.8031585653988,4428.071704564983,5848.041721076948,46.503349185875365,4.351879152989975,41.44779650253422,53.63897459550397,175.2724976068977,38.47143004788737,136.02833218810824,268.87039451355935
